Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]"
1999,YR1999,Netherlands,NLD,161450,15812088,45839.1314634489
1999,YR1999,Norway,NOR,39700,4461913,55713.7558893203
1999,YR1999,Poland,POL,308980,38660271,15311.4429382645
1999,YR1999,Portugal,PRT,62210,10217828,29472.7098799307
1999,YR1999,Romania,ROU,84990,22472040,11868.7081497906
1999,YR1999,San Marino,SMR,..,26404,75441.8387711065
1999,YR1999,Slovak Republic,SVK,40660,5396020,15423.4831045824
1999,YR1999,Slovenia,SVN,14910,1983045,25421.2948966234
1999,YR1999,Spain,ESP,278300,40386875,33154.4666207698
1999,YR1999,Sweden,SWE,57260,8857874,38839.4262714954
1999,YR1999,Switzerland,CHE,44530,7143991,58021.4359714063
1999,YR1999,United Kingdom,GBR,522750,58682466,37678.6944025227
2000,YR2000,Andorra,AND,520,66097,..
2000,YR2000,Austria,AUT,63530,8011566,46469.8610601036
2000,YR2000,Belgium,BEL,117270,10251250,43024.1399101042
2000,YR2000,Croatia,HRV,18040,4468302,18364.9786763039
2000,YR2000,Cyprus,CYP,7130,948237,32943.90625
2000,YR2000,Czechia,CZE,123170,10255063,24976.5063182959
2000,YR2000,Denmark,DNK,52600,5339616,48907.0114021027
2000,YR2000,Estonia,EST,14920,1396985,17765.2075336124
2000,YR2000,Finland,FIN,55100,5176209,39894.1944569685
2000,YR2000,France,FRA,373120,60921384,39726.4884007159
2000,YR2000,Germany,DEU,830280,82211508,42928.1813366719
2000,YR2000,Greece,GRC,94460,10805808,29133.8394364843
2000,YR2000,Hungary,HUN,54630,10210971,19412.1834111207
2000,YR2000,Iceland,ISL,2230,281205,41530.5173238278
2000,YR2000,Ireland,IRL,42530,3805174,48500.3473666542
2000,YR2000,Italy,ITA,436300,56942108,43053.93306429
2000,YR2000,Liechtenstein,LIE,220,33026,..
2000,YR2000,Lithuania,LTU,10510,3499536,13846.6832884609
2000,YR2000,Luxembourg,LUX,8560,436300,99301.5269991515
2000,YR2000,Netherlands,NLD,162100,15925513,47422.2034047837
2000,YR2000,Norway,NOR,34290,4490967,57127.3819959897
2000,YR2000,Poland,POL,295770,38258629,16177.8676699697
2000,YR2000,Portugal,PRT,61660,10289898,30383.1378175177
2000,YR2000,Romania,ROU,89020,22442971,12176.5794995535
2000,YR2000,San Marino,SMR,..,26823,75881.8484368652
2000,YR2000,Slovak Republic,SVK,38070,5388720,15624.5397672777
2000,YR2000,Slovenia,SVN,14540,1988925,26276.9445587635
2000,YR2000,Spain,ESP,293310,40567864,34738.0568248096
2000,YR2000,Sweden,SWE,53280,8872109,40625.3620520538
2000,YR2000,Switzerland,CHE,43710,7184250,59980.3309146065
2000,YR2000,United Kingdom,GBR,530890,58892514,39080.8667573272
2001,YR2001,Andorra,AND,520,67820,..
2001,YR2001,Austria,AUT,67910,8042293,46878.9162398602
2001,YR2001,Belgium,BEL,118340,10286570,43347.8892099274
2001,YR2001,Croatia,HRV,19200,4299642,19672.1961430575
2001,YR2001,Cyprus,CYP,6990,964830,33878.89453125
2001,YR2001,Czechia,CZE,122720,10216605,25833.4146699938
2001,YR2001,Denmark,DNK,54250,5358783,49133.2231026505
2001,YR2001,Estonia,EST,15380,1388115,18952.1070075434
2001,YR2001,Finland,FIN,61090,5188008,40842.3417724243
2001,YR2001,France,FRA,376730,61367388,40220.1008603728
2001,YR2001,Germany,DEU,847680,82349925,43576.6365260124
2001,YR2001,Greece,GRC,96610,10862132,30180.2258479604
2001,YR2001,Hungary,HUN,56280,10187576,20249.4476396525
2001,YR2001,Iceland,ISL,2160,284968,42626.9230684437
2001,YR2001,Ireland,IRL,44820,3866243,50266.9576734743
2001,YR2001,Italy,ITA,436570,56974100,43869.4279411713
2001,YR2001,Liechtenstein,LIE,210,33376,..
2001,YR2001,Lithuania,LTU,11150,3470818,14872.3790941775
2001,YR2001,Luxembourg,LUX,9120,441525,101143.147977096
2001,YR2001,Netherlands,NLD,167120,16046180,48160.7843668965
2001,YR2001,Norway,NOR,34720,4513751,58018.3114261599
2001,YR2001,Poland,POL,293630,38248076,16385.9971738588
2001,YR2001,Portugal,PRT,61380,10362722,30756.0189546063
2001,YR2001,Romania,ROU,95230,22131970,12992.0052923653
2001,YR2001,San Marino,SMR,..,27335,78614.202693694
2001,YR2001,Slovak Republic,SVK,38580,5378867,16162.4808121368
2001,YR2001,Slovenia,SVN,15380,1992060,27079.4748981347
2001,YR2001,Spain,ESP,294790,40850412,35854.5847170553
2001,YR2001,Sweden,SWE,52500,8895960,41103.7264589774
2001,YR2001,Switzerland,CHE,45150,7229854,60541.1168104481
2001,YR2001,United Kingdom,GBR,545260,59119673,39770.6060210997
2002,YR2002,Andorra,AND,529.999971389771,70849,..
2002,YR2002,Austria,AUT,69370.002746582,8081957,47419.2784117541
2002,YR2002,Belgium,BEL,110849.998474121,10332785,43890.5981100134
2002,YR2002,Croatia,HRV,20280.0006866455,4302174,20793.7649202038
2002,YR2002,Cyprus,CYP,7170.00007629395,982194,34739.77734375
2002,YR2002,Czechia,CZE,118529.998779297,10196916,26289.6261389536
2002,YR2002,Denmark,DNK,53840.0001525879,5375931,49204.8990055345
2002,YR2002,Estonia,EST,14949.9998092651,1379350,20364.0087374035
2002,YR2002,Finland,FIN,63439.998626709,5200598,41439.019233448
2002,YR2002,France,FRA,371019.989013672,61816234,40381.4595325319
2002,YR2002,Germany,DEU,833380.004882813,82488495,43417.3079988044
2002,YR2002,Greece,GRC,96599.9984741211,10902022,31249.3973548441
2002,YR2002,Hungary,HUN,55599.9984741211,10158608,21270.0124793944
2002,YR2002,Iceland,ISL,2240.00000953674,287523,42484.5161077418
2002,YR2002,Ireland,IRL,43930.0003051758,3931947,52342.8603565805
2002,YR2002,Italy,ITA,443470.001220703,57059007,43915.385340484
2002,YR2002,Liechtenstein,LIE,219.999998807907,33693,..
2002,YR2002,Lithuania,LTU,11220.0002670288,3443067,16004.4388997159
2002,YR2002,Luxembourg,LUX,9819.99969482422,446175,103317.331098088
2002,YR2002,Netherlands,NLD,167429.992675781,16148929,47958.3319661157
2002,YR2002,Norway,NOR,34369.9989318848,4538159,58540.8454427638
2002,YR2002,Poland,POL,287320.007324219,38230364,16727.3397661722
2002,YR2002,Portugal,PRT,65599.9984741211,10419631,30823.8490440796
2002,YR2002,Romania,ROU,93739.9978637695,21730496,13986.6562544411
2002,YR2002,San Marino,SMR,..,27969,77070.9742314626
2002,YR2002,Slovak Republic,SVK,38069.9996948242,5376912,16897.4603971863
2002,YR2002,Slovenia,SVN,15520.0004577637,1994530,27994.0619768923
2002,YR2002,Spain,ESP,312750,41431558,36317.1006783319
2002,YR2002,Sweden,SWE,54020.0004577637,8924958,41870.2591560099
2002,YR2002,Switzerland,CHE,43569.9996948242,7284753,60040.8774112494
2002,YR2002,United Kingdom,GBR,530789.978027344,59370479,40303.8672354951
2003,YR2003,Andorra,AND,529.999971389771,73907,..
2003,YR2003,Austria,AUT,74459.9990844727,8121423,47633.1140009916
2003,YR2003,Belgium,BEL,115500,10376133,44160.9114292454
2003,YR2003,Croatia,HRV,21610.0006103516,4303399,21944.4266405828
2003,YR2003,Cyprus,CYP,7829.99992370605,1000350,35220.4453125
