Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1997,YR1997,Ireland,IRL,3674171,38190.4980640358,35970
1997,YR1997,Italy,ITA,56890372,40129.9018819235,415520
1997,YR1997,Latvia,LVA,2432851,10947.7811787651,8530
1997,YR1997,Liechtenstein,LIE,31770,..,220
1997,YR1997,Lithuania,LTU,3575137,12302.1012042126,13920
1997,YR1997,Luxembourg,LUX,419450,83702.8135298171,8240
1997,YR1997,Monaco,MCO,31968,..,..
1997,YR1997,Netherlands,NLD,15610650,42235.4890688287,166310
1997,YR1997,Norway,NOR,4405157,53903.4378206491,36540
1997,YR1997,Poland,POL,38649660,13985.4335763903,344630
1997,YR1997,Portugal,PRT,10108977,27354.8368117354,50930
1997,YR1997,Romania,ROU,22553978,12116.237151844,113610
1997,YR1997,San Marino,SMR,25596,66407.5139212185,..
1997,YR1997,Slovak Republic,SVK,5383291,14870.2196437424,42270
1997,YR1997,Slovenia,SVN,1985956,23333.7196815717,15730
1997,YR1997,Spain,ESP,40057389,30644.3794443942,248600
1997,YR1997,Sweden,SWE,8846062,35764.6847640308,57380
1997,YR1997,Switzerland,CHE,7088906,55824.5124855607,42750
1997,YR1997,United Kingdom,GBR,58316954,35679.0192763027,524190
1998,YR1998,Andorra,AND,65186,..,490
1998,YR1998,Austria,AUT,7976789,43597.8900710725,64670
1998,YR1998,Belgium,BEL,10203008,40252.4689057051,119410
1998,YR1998,Croatia,HRV,4532135,17734.5050116504,18530
1998,YR1998,Czechia,CZE,10294373,23597.3061804104,118920
1998,YR1998,Denmark,DNK,5304219,46096.3697234041,59710
1998,YR1998,Estonia,EST,1386156,16332.8199308887,16240
1998,YR1998,Finland,FIN,5153498,36293.3915600144,57270
1998,YR1998,France,FRA,60192790,37409.3954906364,381110
1998,YR1998,Germany,DEU,82047195,41022.6146311397,865250
1998,YR1998,Greece,GRC,10720509,27415.6259519279,87130
1998,YR1998,Greenland,GRL,56100,..,..
1998,YR1998,Hungary,HUN,10266570,17928.7345289766,57350
1998,YR1998,Iceland,ISL,274047,39017.4376817623,2150
1998,YR1998,Ireland,IRL,3712696,41107.2990688178,38420
1998,YR1998,Italy,ITA,56906744,40844.745605278,426370
1998,YR1998,Latvia,LVA,2410019,11751.7141390099,8130
1998,YR1998,Liechtenstein,LIE,32190,..,230
1998,YR1998,Lithuania,LTU,3549331,13317.9077290717,14710
1998,YR1998,Luxembourg,LUX,424700,88185.8001102476,7570
1998,YR1998,Monaco,MCO,32209,..,..
1998,YR1998,Netherlands,NLD,15707209,43933.5681069516,166730
1998,YR1998,Norway,NOR,4431464,54989.7027325446,37890
1998,YR1998,Poland,POL,38663481,14629.1983574495,318410
1998,YR1998,Portugal,PRT,10160196,28525.5174324377,55600
1998,YR1998,Romania,ROU,22507344,11894.8948267569,99540
1998,YR1998,San Marino,SMR,25997,70264.447114394,..
1998,YR1998,Slovak Republic,SVK,5390516,15455.6010850632,41400
1998,YR1998,Slovenia,SVN,1981629,24151.5389832882,15500
1998,YR1998,Spain,ESP,40223509,31858.4991101859,256220
1998,YR1998,Sweden,SWE,8850974,37286.0953943757,58360
1998,YR1998,Switzerland,CHE,7110001,57345.3311137561,44250
1998,YR1998,United Kingdom,GBR,58487141,36698.4110630247,526000
1999,YR1999,Andorra,AND,65655,..,510
